example_id,condition,typo_type,location,severity,clean_question,input_question,token_count,token_increase,example_drop,edits
56d70d240d65d21400198327,corrupted,keyboard,any,2,Which hotel did the Panthers stay at for the Super Bowl?,Which jotsl did the Panthers stay at for the Sulwr Bowl?,15,3,0.0,"[{""edit_num"": 1, ""old"": ""hotel"", ""new"": ""jotsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Super"", ""new"": ""Sulwr"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 9, ""char_indices"": [2, 3], ""operation_count"": 2}]"
56d70d240d65d21400198327,corrupted,keyboard,any,3,Which hotel did the Panthers stay at for the Super Bowl?,Which jotsl did the Panthers srwy at for the Sulwr Bowl?,16,4,0.5,"[{""edit_num"": 1, ""old"": ""hotel"", ""new"": ""jotsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Super"", ""new"": ""Sulwr"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 9, ""char_indices"": [2, 3], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""stay"", ""new"": ""srwy"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [1, 2], ""operation_count"": 2}]"
56d721af0d65d2140019839e,corrupted,keyboard,any,1,Who made their Super Bowl commercial debut with Nintendo?,Who made their Sjpee Bowl commercial debut with Nintendo?,12,2,0.0,"[{""edit_num"": 1, ""old"": ""Super"", ""new"": ""Sjpee"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 4], ""operation_count"": 2}]"
56d721af0d65d2140019839e,corrupted,keyboard,any,2,Who made their Super Bowl commercial debut with Nintendo?,Who made their Sjpee Noql commercial debut with Nintendo?,13,3,0.0,"[{""edit_num"": 1, ""old"": ""Super"", ""new"": ""Sjpee"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 4], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Noql"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 2], ""operation_count"": 2}]"
56d721af0d65d2140019839e,corrupted,keyboard,any,3,Who made their Super Bowl commercial debut with Nintendo?,Who made their Sjpee Noql commercial drbit with Nintendo?,14,4,1.0,"[{""edit_num"": 1, ""old"": ""Super"", ""new"": ""Sjpee"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 4], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Noql"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 2], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""debut"", ""new"": ""drbit"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 6, ""char_indices"": [1, 3], ""operation_count"": 2}]"
56d7277c0d65d21400198401,corrupted,keyboard,any,1,Who did the Broncos tie with the most sacks in a Super Bowl?,Who did the Broncos tie eitg the most sacks in a Super Bowl?,16,2,0.0,"[{""edit_num"": 1, ""old"": ""with"", ""new"": ""eitg"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [0, 3], ""operation_count"": 2}]"
56d7277c0d65d21400198401,corrupted,keyboard,any,2,Who did the Broncos tie with the most sacks in a Super Bowl?,Who did the Broncos tie eitg the most sacks in a Super Bpwp?,18,4,0.0,"[{""edit_num"": 1, ""old"": ""with"", ""new"": ""eitg"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Bpwp"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 12, ""char_indices"": [1, 3], ""operation_count"": 2}]"
56d7277c0d65d21400198401,corrupted,keyboard,any,3,Who did the Broncos tie with the most sacks in a Super Bowl?,Who did the Brojfos tie eitg the most sacks in a Super Bpwp?,20,6,0.0,"[{""edit_num"": 1, ""old"": ""with"", ""new"": ""eitg"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Bpwp"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 12, ""char_indices"": [1, 3], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""Broncos"", ""new"": ""Brojfos"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 4], ""operation_count"": 2}]"
56d98f0ddc89441400fdb559,corrupted,keyboard,any,1,How many times prios has the Sun Life Stadium had Super Bowls?,How many times prios has the Sun Life Staxuum had Super Bowls?,17,2,0.6363636363636365,"[{""edit_num"": 1, ""old"": ""Stadium"", ""new"": ""Staxuum"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 8, ""char_indices"": [3, 4], ""operation_count"": 2}]"
56d98f0ddc89441400fdb559,corrupted,keyboard,any,2,How many times prios has the Sun Life Stadium had Super Bowls?,How nanh times prios has the Sun Life Staxuum had Super Bowls?,18,3,0.6363636363636365,"[{""edit_num"": 1, ""old"": ""Stadium"", ""new"": ""Staxuum"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 8, ""char_indices"": [3, 4], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""many"", ""new"": ""nanh"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}]"
56d98f0ddc89441400fdb559,corrupted,keyboard,any,3,How many times prios has the Sun Life Stadium had Super Bowls?,How nanh times prios has the Sun Pkfe Staxuum had Super Bowls?,20,5,0.0,"[{""edit_num"": 1, ""old"": ""Stadium"", ""new"": ""Staxuum"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 8, ""char_indices"": [3, 4], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""many"", ""new"": ""nanh"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""Life"", ""new"": ""Pkfe"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [0, 1], ""operation_count"": 2}]"
56e20a3ae3433e140042324d,corrupted,keyboard,any,1,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-comllste problems?,33,2,0.0,"[{""edit_num"": 1, ""old"": ""complete"", ""new"": ""comllste"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 21, ""char_indices"": [3, 5], ""operation_count"": 2}]"
56e20a3ae3433e140042324d,corrupted,keyboard,any,2,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?,What is the paper written by Richard Jadp in 1972 that ushered in a new era of understanding between intractability and NP-comllste problems?,33,2,0.0,"[{""edit_num"": 1, ""old"": ""complete"", ""new"": ""comllste"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 21, ""char_indices"": [3, 5], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Karp"", ""new"": ""Jadp"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [0, 2], ""operation_count"": 2}]"
56e20a3ae3433e140042324d,corrupted,keyboard,any,3,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?,What is the paper written by Richard Jadp in 1972 that ushered in a new era of understsmding between intractability and NP-comllste problems?,36,5,0.0,"[{""edit_num"": 1, ""old"": ""complete"", ""new"": ""comllste"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 21, ""char_indices"": [3, 5], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Karp"", ""new"": ""Jadp"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [0, 2], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""understanding"", ""new"": ""understsmding"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 16, ""char_indices"": [7, 8], ""operation_count"": 2}]"
56e756bc37bdd419002c3e97,corrupted,keyboard,any,1,What does co-teaching get the students to focus on?,What fpes co-teaching get the students to focus on?,13,1,0.0,"[{""edit_num"": 1, ""old"": ""does"", ""new"": ""fpes"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 1], ""operation_count"": 2}]"
56e756bc37bdd419002c3e97,corrupted,keyboard,any,2,What does co-teaching get the students to focus on?,What fpes co-teaching get the syjdents to focus on?,15,3,0.0,"[{""edit_num"": 1, ""old"": ""does"", ""new"": ""fpes"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 1], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""students"", ""new"": ""syjdents"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 6, ""char_indices"": [1, 2], ""operation_count"": 2}]"
56e756bc37bdd419002c3e97,corrupted,keyboard,any,3,What does co-teaching get the students to focus on?,What fpes co-teaching get the syjdents to rodus on?,16,4,0.5,"[{""edit_num"": 1, ""old"": ""does"", ""new"": ""fpes"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 1], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""students"", ""new"": ""syjdents"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 6, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""focus"", ""new"": ""rodus"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 8, ""char_indices"": [0, 2], ""operation_count"": 2}]"
56f7f2e0aef2371900625cb0,corrupted,keyboard,any,1,When did Martin Luther receive his Doctor of Theology?,When did Martin Luther recrivd his Doctor of Theology?,13,2,0.0,"[{""edit_num"": 1, ""old"": ""receive"", ""new"": ""recrivd"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [3, 6], ""operation_count"": 2}]"
56f7f2e0aef2371900625cb0,corrupted,keyboard,any,2,When did Martin Luther receive his Doctor of Theology?,When did Martin Ljthed recrivd his Doctor of Theology?,15,4,0.1428571428571429,"[{""edit_num"": 1, ""old"": ""receive"", ""new"": ""recrivd"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Luther"", ""new"": ""Ljthed"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 5], ""operation_count"": 2}]"
56f7f2e0aef2371900625cb0,corrupted,keyboard,any,3,When did Martin Luther receive his Doctor of Theology?,When did Martin Ljthed recrivd his Dpctir of Theology?,18,7,0.1428571428571429,"[{""edit_num"": 1, ""old"": ""receive"", ""new"": ""recrivd"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Luther"", ""new"": ""Ljthed"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 5], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""Doctor"", ""new"": ""Dpctir"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 6, ""char_indices"": [1, 4], ""operation_count"": 2}]"
56f7fde8a6d7ea1400e17367,corrupted,keyboard,any,1,When was Johann Tetzel sent by the Roman Catholic Church to Germany to sell indulgences?,Syen was Johann Tetzel sent by the Roman Catholic Church to Germany to sell indulgences?,20,1,0.6666666666666666,"[{""edit_num"": 1, ""old"": ""When"", ""new"": ""Syen"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 0, ""char_indices"": [0, 1], ""operation_count"": 2}]"
56f7fde8a6d7ea1400e17367,corrupted,keyboard,any,2,When was Johann Tetzel sent by the Roman Catholic Church to Germany to sell indulgences?,Syen was Johann Tetzel sent by the Roman Cafhllic Church to Germany to sell indulgences?,22,3,0.6666666666666666,"[{""edit_num"": 1, ""old"": ""When"", ""new"": ""Syen"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 0, ""char_indices"": [0, 1], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Catholic"", ""new"": ""Cafhllic"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 8, ""char_indices"": [2, 4], ""operation_count"": 2}]"
56f7fde8a6d7ea1400e17367,corrupted,keyboard,any,3,When was Johann Tetzel sent by the Roman Catholic Church to Germany to sell indulgences?,Syen was Johann Tefsel sent by the Roman Cafhllic Church to Germany to sell indulgences?,23,4,0.5,"[{""edit_num"": 1, ""old"": ""When"", ""new"": ""Syen"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 0, ""char_indices"": [0, 1], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Catholic"", ""new"": ""Cafhllic"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 8, ""char_indices"": [2, 4], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""Tetzel"", ""new"": ""Tefsel"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [2, 3], ""operation_count"": 2}]"
5705eb3375f01819005e7767,corrupted,keyboard,any,1,"Other than the motion picture and television industry, what other major industry is centered in Los Angeles?","Other than the motion picture and gelevisipn industry, what other major industry is centered in Los Angeles?",22,3,1.0,"[{""edit_num"": 1, ""old"": ""television"", ""new"": ""gelevisipn"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 6, ""char_indices"": [0, 8], ""operation_count"": 2}]"
5705eb3375f01819005e7767,corrupted,keyboard,any,2,"Other than the motion picture and television industry, what other major industry is centered in Los Angeles?","Other yhaj the motion picture and gelevisipn industry, what other major industry is centered in Los Angeles?",24,5,1.0,"[{""edit_num"": 1, ""old"": ""television"", ""new"": ""gelevisipn"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 6, ""char_indices"": [0, 8], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""than"", ""new"": ""yhaj"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}]"
5705eb3375f01819005e7767,corrupted,keyboard,any,3,"Other than the motion picture and television industry, what other major industry is centered in Los Angeles?","Other yhaj the motion picture and gelevisipn industry, wyst other major industry is centered in Los Angeles?",24,5,1.0,"[{""edit_num"": 1, ""old"": ""television"", ""new"": ""gelevisipn"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 6, ""char_indices"": [0, 8], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""than"", ""new"": ""yhaj"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""what"", ""new"": ""wyst"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 8, ""char_indices"": [1, 2], ""operation_count"": 2}]"
570603c475f01819005e7884,corrupted,keyboard,any,1,What is the state average growth rate?,Wgzt is the state average growth rate?,10,2,0.0,"[{""edit_num"": 1, ""old"": ""What"", ""new"": ""Wgzt"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 0, ""char_indices"": [1, 2], ""operation_count"": 2}]"
570603c475f01819005e7884,corrupted,keyboard,any,2,What is the state average growth rate?,Wgzt is the state average groayh rate?,12,4,0.0,"[{""edit_num"": 1, ""old"": ""What"", ""new"": ""Wgzt"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 0, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""growth"", ""new"": ""groayh"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [3, 4], ""operation_count"": 2}]"
570603c475f01819005e7884,corrupted,keyboard,any,3,What is the state average growth rate?,Wgzt is the state avwdage groayh rate?,14,6,0.0,"[{""edit_num"": 1, ""old"": ""What"", ""new"": ""Wgzt"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 0, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""growth"", ""new"": ""groayh"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [3, 4], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""average"", ""new"": ""avwdage"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [2, 3], ""operation_count"": 2}]"
57097051ed30961900e84135,corrupted,keyboard,any,1,Who did BSkyB compete with initially?,Who did BSkyB compete with iniriakly?,12,3,0.0,"[{""edit_num"": 1, ""old"": ""initially"", ""new"": ""iniriakly"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [3, 6], ""operation_count"": 2}]"
57097051ed30961900e84135,corrupted,keyboard,any,2,Who did BSkyB compete with initially?,Who did HAkyB compete with iniriakly?,12,3,0.0,"[{""edit_num"": 1, ""old"": ""initially"", ""new"": ""iniriakly"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""BSkyB"", ""new"": ""HAkyB"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [0, 1], ""operation_count"": 2}]"
57097051ed30961900e84135,corrupted,keyboard,any,3,Who did BSkyB compete with initially?,Who did HAkyB compete wifj iniriakly?,14,5,0.0,"[{""edit_num"": 1, ""old"": ""initially"", ""new"": ""iniriakly"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""BSkyB"", ""new"": ""HAkyB"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [0, 1], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""with"", ""new"": ""wifj"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [2, 3], ""operation_count"": 2}]"
570d26efb3d812140066d493,corrupted,keyboard,any,1,How often are elections held for the Victorian Parliament?,How often are elections grld for the Victorian Parliament?,11,1,0.0,"[{""edit_num"": 1, ""old"": ""held"", ""new"": ""grld"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 1], ""operation_count"": 2}]"
570d26efb3d812140066d493,corrupted,keyboard,any,2,How often are elections held for the Victorian Parliament?,How often are elections grld for the Victorian Pwrlizment?,15,5,0.0,"[{""edit_num"": 1, ""old"": ""held"", ""new"": ""grld"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 1], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Parliament"", ""new"": ""Pwrlizment"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 8, ""char_indices"": [1, 5], ""operation_count"": 2}]"
