model,model_revision,backend,task,example_id,keyword_strategy,clean_question,context,reference,question_word_count,condition,typo_type,location,severity,actual_severity,severity_achieved,typo_difficulty,mitigation,input_question,corruption_seed,edits,corruption_replicate,actual_char_operations,prediction,em,f1,semantic_correct,accuracy,latency_seconds,error,token_count,clean_token_count,token_increase,clean_example_score,example_drop,x,y
Qwen/Qwen3-4B,,hf,squad,56bf1ae93aeaaa14008c951b,idf,Which network broadcasted the 50th Super Bowl game? ,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.","[""CBS"", ""CBS"", ""CBS""]",8,corrupted,keyboard,any,2,2,True,hard,none,Which network brladcqsted the 50th Super Bowl gqke? ,42075751.0,"[{""edit_num"": 1, ""old"": ""game"", ""new"": ""gqke"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""broadcasted"", ""new"": ""brladcqsted"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [2, 6], ""operation_count"": 2}]",0.0,4,CBS,1.0,1.0,1.0,,0.6892504749994259,,18,14,4,1.0,0.0,-12.70268,41.748047
Qwen/Qwen3-4B,,hf,squad,56bf1ae93aeaaa14008c951b,idf,Which network broadcasted the 50th Super Bowl game? ,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.","[""CBS"", ""CBS"", ""CBS""]",8,corrupted,keyboard,any,3,3,True,hard,none,Which network brladcqsted the 50th Zuprr Bowl gqke? ,42075751.0,"[{""edit_num"": 1, ""old"": ""game"", ""new"": ""gqke"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""broadcasted"", ""new"": ""brladcqsted"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [2, 6], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""Super"", ""new"": ""Zuprr"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [0, 3], ""operation_count"": 2}]",0.0,6,CBS,1.0,1.0,1.0,,0.6877262019997943,,20,14,6,1.0,0.0,-21.982193,44.992912
Qwen/Qwen3-4B,,hf,squad,56d70d240d65d21400198327,idf,Which hotel did the Panthers stay at for the Super Bowl?,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,"[""San Jose Marriott."", ""the San Jose Marriott"", ""San Jose Marriott""]",11,clean,none,none,0,0,True,none,none,Which hotel did the Panthers stay at for the Super Bowl?,,[],,0,San Jose Marriott,1.0,1.0,1.0,,0.6122317519993885,,12,12,0,1.0,0.0,34.651165,29.66802
Qwen/Qwen3-4B,,hf,squad,56d70d240d65d21400198327,idf,Which hotel did the Panthers stay at for the Super Bowl?,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,"[""San Jose Marriott."", ""the San Jose Marriott"", ""San Jose Marriott""]",11,corrupted,keyboard,any,1,1,True,hard,none,Which jotsl did the Panthers stay at for the Super Bowl?,42436003.0,"[{""edit_num"": 1, ""old"": ""hotel"", ""new"": ""jotsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}]",0.0,2,San Jose Marriott.,1.0,1.0,1.0,,0.6448817009995764,,14,12,2,1.0,0.0,11.210125,28.72357
Qwen/Qwen3-4B,,hf,squad,56d70d240d65d21400198327,idf,Which hotel did the Panthers stay at for the Super Bowl?,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,"[""San Jose Marriott."", ""the San Jose Marriott"", ""San Jose Marriott""]",11,corrupted,keyboard,any,2,2,True,hard,none,Which jotsl did the Panthers stay at for the Sulwr Bowl?,42436003.0,"[{""edit_num"": 1, ""old"": ""hotel"", ""new"": ""jotsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Super"", ""new"": ""Sulwr"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 9, ""char_indices"": [2, 3], ""operation_count"": 2}]",0.0,4,San Jose Marriott,1.0,1.0,1.0,,0.58790699400015,,15,12,3,1.0,0.0,2.665366,30.135576
Qwen/Qwen3-4B,,hf,squad,56d70d240d65d21400198327,idf,Which hotel did the Panthers stay at for the Super Bowl?,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,"[""San Jose Marriott."", ""the San Jose Marriott"", ""San Jose Marriott""]",11,corrupted,keyboard,any,3,3,True,hard,none,Which jotsl did the Panthers srwy at for the Sulwr Bowl?,42436003.0,"[{""edit_num"": 1, ""old"": ""hotel"", ""new"": ""jotsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Super"", ""new"": ""Sulwr"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 9, ""char_indices"": [2, 3], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""stay"", ""new"": ""srwy"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [1, 2], ""operation_count"": 2}]",0.0,6,San Jose Marriott,1.0,1.0,1.0,,0.6096255410002414,,16,12,4,1.0,0.0,-7.2153516,30.14409
Qwen/Qwen3-4B,,hf,squad,56d721af0d65d2140019839e,idf,Who made their Super Bowl commercial debut with Nintendo?,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super Bowl ad. As of January 26, the advertisements had not yet sold out. CBS mandated that all advertisers purchase a package covering time on both the television and digital broadcasts of the game, meaning that for the first time, digital streams of the game would carry all national advertising in pattern with the television broadcast. This would be the final year in a multi-year contract with Anheuser-Busch InBev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount. It was also the final year that Doritos, a longtime sponsor of the game, held its ""Crash the Super Bowl"" contest that allowed viewers to create their own Doritos ads for a chance to have it aired during the game. Nintendo and The Pokémon Company also made their Super Bowl debut, promoting the 20th anniversary of the Pokémon video game and media franchise.","[""The Pokémon Company"", ""The Pokémon Company"", ""The Pokémon Company""]",9,clean,none,none,0,0,True,none,none,Who made their Super Bowl commercial debut with Nintendo?,,[],,0,The Pokémon Company,1.0,1.0,1.0,,1.2248335379999844,,10,10,0,1.0,0.0,47.78383,16.39988
Qwen/Qwen3-4B,,hf,squad,56d721af0d65d2140019839e,idf,Who made their Super Bowl commercial debut with Nintendo?,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super Bowl ad. As of January 26, the advertisements had not yet sold out. CBS mandated that all advertisers purchase a package covering time on both the television and digital broadcasts of the game, meaning that for the first time, digital streams of the game would carry all national advertising in pattern with the television broadcast. This would be the final year in a multi-year contract with Anheuser-Busch InBev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount. It was also the final year that Doritos, a longtime sponsor of the game, held its ""Crash the Super Bowl"" contest that allowed viewers to create their own Doritos ads for a chance to have it aired during the game. Nintendo and The Pokémon Company also made their Super Bowl debut, promoting the 20th anniversary of the Pokémon video game and media franchise.","[""The Pokémon Company"", ""The Pokémon Company"", ""The Pokémon Company""]",9,corrupted,keyboard,any,1,1,True,hard,none,Who made their Sjpee Bowl commercial debut with Nintendo?,43396675.0,"[{""edit_num"": 1, ""old"": ""Super"", ""new"": ""Sjpee"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 4], ""operation_count"": 2}]",0.0,2,The Pokémon Company,1.0,1.0,1.0,,1.2869826500000272,,12,10,2,1.0,0.0,12.414365,26.929802
Qwen/Qwen3-4B,,hf,squad,56d721af0d65d2140019839e,idf,Who made their Super Bowl commercial debut with Nintendo?,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super Bowl ad. As of January 26, the advertisements had not yet sold out. CBS mandated that all advertisers purchase a package covering time on both the television and digital broadcasts of the game, meaning that for the first time, digital streams of the game would carry all national advertising in pattern with the television broadcast. This would be the final year in a multi-year contract with Anheuser-Busch InBev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount. It was also the final year that Doritos, a longtime sponsor of the game, held its ""Crash the Super Bowl"" contest that allowed viewers to create their own Doritos ads for a chance to have it aired during the game. Nintendo and The Pokémon Company also made their Super Bowl debut, promoting the 20th anniversary of the Pokémon video game and media franchise.","[""The Pokémon Company"", ""The Pokémon Company"", ""The Pokémon Company""]",9,corrupted,keyboard,any,2,2,True,hard,none,Who made their Sjpee Noql commercial debut with Nintendo?,43396675.0,"[{""edit_num"": 1, ""old"": ""Super"", ""new"": ""Sjpee"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 4], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Noql"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 2], ""operation_count"": 2}]",0.0,4,The Pokémon Company,1.0,1.0,1.0,,1.304420041999947,,13,10,3,1.0,0.0,2.1262589,31.839016
Qwen/Qwen3-4B,,hf,squad,56d721af0d65d2140019839e,idf,Who made their Super Bowl commercial debut with Nintendo?,"CBS set the base rate for a 30-second advertisement at $5,000,000, a record high price for a Super Bowl ad. As of January 26, the advertisements had not yet sold out. CBS mandated that all advertisers purchase a package covering time on both the television and digital broadcasts of the game, meaning that for the first time, digital streams of the game would carry all national advertising in pattern with the television broadcast. This would be the final year in a multi-year contract with Anheuser-Busch InBev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount. It was also the final year that Doritos, a longtime sponsor of the game, held its ""Crash the Super Bowl"" contest that allowed viewers to create their own Doritos ads for a chance to have it aired during the game. Nintendo and The Pokémon Company also made their Super Bowl debut, promoting the 20th anniversary of the Pokémon video game and media franchise.","[""The Pokémon Company"", ""The Pokémon Company"", ""The Pokémon Company""]",9,corrupted,keyboard,any,3,3,True,hard,none,Who made their Sjpee Noql commercial drbit with Nintendo?,43396675.0,"[{""edit_num"": 1, ""old"": ""Super"", ""new"": ""Sjpee"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 4], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Noql"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 2], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""debut"", ""new"": ""drbit"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 6, ""char_indices"": [1, 3], ""operation_count"": 2}]",0.0,6,The Pokémon Company,1.0,1.0,1.0,,1.2532528419997109,,14,10,4,1.0,0.0,-8.017171,34.132904
Qwen/Qwen3-4B,,hf,squad,56d7277c0d65d21400198401,idf,Who did the Broncos tie with the most sacks in a Super Bowl?,"Super Bowl 50 featured numerous records from individuals and teams. Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11). Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team. The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV. Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost. The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX. Kony Ealy tied a Super Bowl record with three sacks. Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII. Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15. The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low. Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl. Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.","[""Chicago Bears"", ""the Chicago Bears"", ""Bears""]",13,clean,none,none,0,0,True,none,none,Who did the Broncos tie with the most sacks in a Super Bowl?,,[],,0,Chicago Bears,1.0,1.0,1.0,,1.61403526399954,,14,14,0,1.0,0.0,45.906517,21.63705
